Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
124	wheeler228	1546741392.794	    61.449	0	0	0	0	./wrapper1.sh \[-4.6,-0.8,124\] > conn.log
126	wheeler246	1546741394.231	    60.957	0	0	0	0	./wrapper1.sh \[-4.6,-0.4,126\] > conn.log
127	wheeler232	1546741394.565	    61.947	0	0	0	0	./wrapper1.sh \[-4.6,-0.2,127\] > conn.log
130	wheeler233	1546741396.466	    60.462	0	0	0	0	./wrapper1.sh \[-4.6,0.4,130\] > conn.log
129	wheeler238	1546741396.307	    60.894	0	0	0	0	./wrapper1.sh \[-4.6,0.2,129\] > conn.log
131	wheeler240	1546741397.051	    60.687	0	0	0	0	./wrapper1.sh \[-4.6,0.6,131\] > conn.log
132	wheeler236	1546741399.860	    59.907	0	0	0	0	./wrapper1.sh \[-4.6,0.8,132\] > conn.log
125	wheeler235	1546741393.202	    67.718	0	0	0	0	./wrapper1.sh \[-4.6,-0.6,125\] > conn.log
133	wheeler239	1546741405.411	    60.645	0	0	0	0	./wrapper1.sh \[-4.6,1.0,133\] > conn.log
134	wheeler230	1546741409.450	    60.498	0	0	0	0	./wrapper1.sh \[-4.6,1.2,134\] > conn.log
136	wheeler237	1546741453.553	    60.200	0	0	0	0	./wrapper1.sh \[-4.6,1.6,136\] > conn.log
135	wheeler231	1546741451.537	    62.381	0	0	0	0	./wrapper1.sh \[-4.6,1.4,135\] > conn.log
138	wheeler246	1546741455.200	    61.596	0	0	0	0	./wrapper1.sh \[-4.6,2.0,138\] > conn.log
139	wheeler232	1546741456.526	    60.700	0	0	0	0	./wrapper1.sh \[-4.6,2.2,139\] > conn.log
140	wheeler233	1546741456.941	    60.811	0	0	0	0	./wrapper1.sh \[-4.6,2.4,140\] > conn.log
142	wheeler240	1546741457.751	    60.475	0	0	0	0	./wrapper1.sh \[-4.6,2.8,142\] > conn.log
141	wheeler238	1546741457.213	    61.557	0	0	0	0	./wrapper1.sh \[-4.6,2.6,141\] > conn.log
143	wheeler236	1546741459.780	    60.588	0	0	0	0	./wrapper1.sh \[-4.6,3.0,143\] > conn.log
137	wheeler228	1546741454.254	    66.164	0	0	0	0	./wrapper1.sh \[-4.6,1.8,137\] > conn.log
144	wheeler235	1546741460.933	    60.436	0	0	0	0	./wrapper1.sh \[-4.6,3.2,144\] > conn.log
145	wheeler239	1546741466.068	    62.553	0	0	0	0	./wrapper1.sh \[-4.6,3.4,145\] > conn.log
146	wheeler230	1546741469.961	    60.314	0	0	0	0	./wrapper1.sh \[-4.6,3.6,146\] > conn.log
148	wheeler231	1546741513.930	    61.014	0	0	0	0	./wrapper1.sh \[-4.6,4.0,148\] > conn.log
151	wheeler233	1546741517.763	    60.769	0	0	0	0	./wrapper1.sh \[-4.6,4.6,151\] > conn.log
149	wheeler246	1546741516.809	    61.805	0	0	0	0	./wrapper1.sh \[-4.6,4.2,149\] > conn.log
152	wheeler240	1546741518.238	    61.353	0	0	0	0	./wrapper1.sh \[-4.6,4.8,152\] > conn.log
155	wheeler228	1546741520.429	    59.305	0	0	0	0	./wrapper1.sh \[-4.4,-4.8,155\] > conn.log
156	wheeler235	1546741521.381	    58.802	0	0	0	0	./wrapper1.sh \[-4.4,-4.6,156\] > conn.log
147	wheeler237	1546741513.770	    66.851	0	0	0	0	./wrapper1.sh \[-4.6,3.8,147\] > conn.log
154	wheeler236	1546741520.382	    64.046	0	0	0	0	./wrapper1.sh \[-4.4,-5.0,154\] > conn.log
157	wheeler239	1546741528.634	    60.780	0	0	0	0	./wrapper1.sh \[-4.4,-4.4,157\] > conn.log
158	wheeler230	1546741530.287	    60.976	0	0	0	0	./wrapper1.sh \[-4.4,-4.2,158\] > conn.log
150	wheeler232	1546741517.238	    75.866	0	0	0	0	./wrapper1.sh \[-4.6,4.4,150\] > conn.log
153	wheeler238	1546741518.782	    76.904	0	0	0	0	./wrapper1.sh \[-4.6,5.0,153\] > conn.log
159	wheeler231	1546741574.961	    59.861	0	0	0	0	./wrapper1.sh \[-4.4,-4.0,159\] > conn.log
160	wheeler233	1546741578.545	    59.796	0	0	0	0	./wrapper1.sh \[-4.4,-3.8,160\] > conn.log
161	wheeler246	1546741578.626	    60.296	0	0	0	0	./wrapper1.sh \[-4.4,-3.6,161\] > conn.log
163	wheeler228	1546741579.747	    59.713	0	0	0	0	./wrapper1.sh \[-4.4,-3.2,163\] > conn.log
164	wheeler235	1546741580.195	    61.333	0	0	0	0	./wrapper1.sh \[-4.4,-3.0,164\] > conn.log
162	wheeler240	1546741579.603	    62.544	0	0	0	0	./wrapper1.sh \[-4.4,-3.4,162\] > conn.log
165	wheeler237	1546741580.633	    62.146	0	0	0	0	./wrapper1.sh \[-4.4,-2.8,165\] > conn.log
166	wheeler236	1546741584.441	    65.137	0	0	0	0	./wrapper1.sh \[-4.4,-2.6,166\] > conn.log
167	wheeler239	1546741589.427	    60.486	0	0	0	0	./wrapper1.sh \[-4.4,-2.4,167\] > conn.log
168	wheeler230	1546741591.276	    60.241	0	0	0	0	./wrapper1.sh \[-4.4,-2.2,168\] > conn.log
170	wheeler238	1546741595.697	    59.901	0	0	0	0	./wrapper1.sh \[-4.4,-1.8,170\] > conn.log
169	wheeler232	1546741593.115	    67.815	0	0	0	0	./wrapper1.sh \[-4.4,-2.0,169\] > conn.log
171	wheeler231	1546741634.838	    58.967	0	0	0	0	./wrapper1.sh \[-4.4,-1.6,171\] > conn.log
173	wheeler246	1546741638.935	    60.051	0	0	0	0	./wrapper1.sh \[-4.4,-1.2,173\] > conn.log
174	wheeler228	1546741639.473	    59.754	0	0	0	0	./wrapper1.sh \[-4.4,-1.0,174\] > conn.log
172	wheeler233	1546741638.355	    61.964	0	0	0	0	./wrapper1.sh \[-4.4,-1.4,172\] > conn.log
175	wheeler235	1546741641.541	    60.995	0	0	0	0	./wrapper1.sh \[-4.4,-0.8,175\] > conn.log
176	wheeler240	1546741642.159	    60.445	0	0	0	0	./wrapper1.sh \[-4.4,-0.6,176\] > conn.log
177	wheeler237	1546741642.792	    60.330	0	0	0	0	./wrapper1.sh \[-4.4,-0.4,177\] > conn.log
